"id_persona_pr","nme_genero_pr","id_niv_form_pr","id_clas_pr","edad_anos_pr","nme_region_gr","nme_area_gr","Actividades","LugarActualTrabajo","cant_libros","cant_lineas","cant_tgs","cant_art"
167,"masculino","3","i",38,"region pacifico","ciencias de la salud","No especificado","Otras IE","No especificado","4 o más líneas","Más de 45","Entre 16 y 30"
220,"femenino","3","ij",35,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
329,"masculino","3","i",37,"region caribe","ciencias de la salud","Actividades de docencia","Universidad","2 libros","4 o más líneas","Más de 45","Entre 16 y 30"
480,"masculino","3","i",54,"centro oriente","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
559,"femenino","5","is",51,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
594,"femenino","4","ij",56,"region pacifico","ciencias de la salud","No especificado","Otros lugares","1 libro","3 líneas","Entre 16 y 30","15 o menos"
649,"femenino","d","ij",51,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
688,"masculino","4","ij",57,"region pacifico","psicologia","Actividades de docencia","Universidad","1 libro","4 o más líneas","Entre 31 y 45","15 o menos"
828,"masculino","3","ij",39,"centro oriente","ciencias de la salud","Actividades de administración","Universidad","1 libro","3 líneas","Entre 16 y 30","Entre 16 y 30"
851,"femenino","3","i",43,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
854,"masculino","3","ij",34,"region caribe","ciencias de la salud","Actividades de docencia","Universidad","No especificado","4 o más líneas","Más de 45","Entre 16 y 30"
892,"masculino","d","ij",70,"region eje cafetero","ciencias de la salud","Actividades de administración","Otros lugares","1 libro","2 líneas","15 o menos","Entre 31 y 45"
916,"femenino","3","ij",36,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
940,"masculino","4","is",62,"exterior","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1043,"femenino","4","ij",39,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1116,"masculino","3","ij",40,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","No especificado","1 línea","15 o menos","Más de 45"
1274,"femenino","4","ij",58,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1368,"masculino","4","ij",43,"region pacifico","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1605,"femenino","4","ij",34,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1612,"femenino","3","ij",46,"centro oriente","ciencias de la salud","Actividades de docencia","Universidad","2 libros","1 línea","No especificado","15 o menos"
1746,"femenino","4","ij",41,"region pacifico","medicina clinica","No especificado","Universidad","No especificado","4 o más líneas","15 o menos","15 o menos"
1832,"masculino","4","ij",41,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","1 línea","Entre 16 y 30","15 o menos"
1918,"femenino","3","ij",35,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
1971,"femenino","3","ij",36,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2149,"femenino","3","ij",38,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","15 o menos"
2193,"femenino","3","ij",40,"region eje cafetero","ciencias de la salud","No especificado","No especificado","No especificado","4 o más líneas","Más de 45","15 o menos"
2268,"masculino","3","i",45,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
2288,"femenino","4","ij",41,"region pacifico","psicologia","No especificado","Universidad","No especificado","2 líneas","Más de 45","15 o menos"
2542,"masculino","5","is",53,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
